,YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STRATA,GQ,PERNUM,PERWT,SEX,AGE,MARST,BIRTHYR,DIVINYR,WIDINYR,RACE,RACED,BPL,BPLD,HCOVPRIV,HINSCAID,HINSCARE,EDUC,EDUCD,EMPSTAT,EMPSTATD,LABFORCE,WKSWORK2,UHRSWORK,INCTOT,INCWAGE
304890,2021,202101,136749,2021000495769,31.0,2021001367491,376706,1,2,43.0,2,50,1,1971,1,1,6,620,502,50200,2,1,1,6,63,1,10,2,6,30,25000,25000
2672638,2021,202101,1189869,2021000806198,33.0,2021011898691,220047,1,1,32.0,2,58,1,1963,1,1,1,100,47,4700,2,1,1,8,81,1,10,2,6,40,65000,65000
1275493,2021,202101,556048,2021000897131,11.0,2021005560481,170221,1,4,11.0,1,4,6,2017,0,0,1,100,29,2900,2,1,1,1,11,0,0,0,0,0,9999999,999999
2843543,2021,202101,1266511,2021000736649,82.0,2021012665111,540048,1,1,83.0,2,22,6,1999,0,0,6,676,6,600,2,1,1,6,63,3,30,1,0,0,-1500,0
2983175,2021,202101,1321508,2021000818658,75.0,2021013215081,3500149,1,2,83.0,2,44,4,1977,2,1,1,100,49,4900,1,2,1,3,30,3,30,1,0,0,10600,0
1398681,2021,202101,612334,2021001101731,63.0,2021006123341,50424,1,2,111.0,1,44,4,1977,1,1,8,826,11,1100,1,1,1,6,63,1,10,2,4,20,45000,45000
701672,2021,202101,300928,2021000266561,42.0,2021003009281,1150112,1,1,42.0,1,71,1,1950,1,1,1,100,25,2500,1,1,2,11,116,3,30,1,0,0,67700,0
2695417,2021,202101,1199676,2021001290530,27.0,2021011996761,290047,1,1,27.0,1,60,1,1961,1,1,8,801,47,4700,2,2,1,11,116,1,10,2,6,12,15000,0
2911719,2021,202101,1293310,2021001123361,42.0,2021012933101,251048,1,2,40.0,2,51,1,1970,1,1,1,100,6,600,2,1,1,11,114,1,10,2,6,30,50000,50000
384565,2021,202101,166145,2021000799012,65.0,2021001661451,170006,1,3,61.0,2,18,6,2003,0,0,1,100,6,600,2,2,1,6,63,3,30,1,0,0,0,0
378550,2021,202101,163940,2021000776259,26.0,2021001639401,651106,1,4,22.0,1,15,6,2006,0,0,6,610,6,600,1,2,1,3,30,0,0,0,0,0,0,999999
480178,2021,202101,201555,2021001166105,34.0,2021002015551,376806,1,1,33.0,1,85,1,1936,1,1,1,100,6,600,2,1,2,7,71,3,30,1,0,0,59100,0
1746896,2021,202101,770635,2021000293444,16.0,2021007706351,20031,1,2,20.0,1,39,1,1982,1,1,1,100,31,3100,2,1,1,6,63,1,10,2,6,40,40000,40000
2365598,2021,202101,1048690,2021000538651,211.0,2021010486901,90040,1,1,210.0,2,40,1,1981,1,1,1,100,12,1200,2,1,1,6,63,1,10,2,6,40,40000,40000
3047087,2021,202101,1350496,2021000669801,84.0,2021013504961,1070151,1,1,84.0,1,64,1,1957,1,1,1,100,42,4200,2,1,1,7,71,1,10,2,6,40,36100,28000
214038,2021,202101,102859,2021000145507,138.0,2021001028591,711006,1,2,126.0,2,71,2,1950,1,1,4,410,500,50040,1,2,2,6,63,3,30,1,0,0,2400,0
3195890,2021,202101,1416357,2021000168725,148.0,2021014163571,2000055,1,2,49.0,2,36,1,1985,1,1,8,802,55,5500,1,2,1,6,63,3,30,1,6,25,24700,0
